labels,FA1,FA2,FA3
0,0.937562108,-0.177632893,0.744532266
0,-0.994677546,-1.64891111,-0.071368402
0,-1.286151356,0.682087747,0.490463563
0,-1.236093452,-0.12038812,1.339606695
0,-1.041692968,0.592288415,0.336749144
0,-1.580096983,-0.403376908,0.183437166
0,-1.459682859,-0.871105892,0.869206134
0,-1.487895788,-0.220297823,0.946820701
0,-1.219917944,-1.195791382,0.552435718
0,1.628763799,0.215475075,-0.408658791
0,-1.692528889,-1.388526569,-0.556517651
0,-1.058395577,-0.975449492,-0.503237852
0,-1.37974058,0.740473983,0.262352827
0,-0.361971582,1.886687716,1.066970028
0,-0.224828286,-1.031672955,-0.42857932
0,-1.730723537,-0.463982179,0.239262405
0,-1.664908392,-0.243543652,-0.561178878
0,-1.199837523,1.062850238,0.523196794
0,-0.827581937,1.599748766,0.381303762
0,1.003577627,0.455512693,-0.477137436
0,0.82941289,-0.581788603,-1.113564973
0,-1.267209544,-0.678565497,-1.179463611
0,-0.427479531,1.852910347,-1.101508012
0,-0.539709177,0.53370284,-2.342002992
0,-0.948183959,-0.575282071,-1.673588088
0,-1.38248144,-0.318883838,0.13608242
0,-1.14770317,-0.314938538,-1.125396288
0,-0.894536702,0.004037262,-1.788281363
0,-0.251270195,-1.176337119,-1.380514265
0,-0.890751346,1.233692961,-0.072578701
0,-1.38894543,0.844640882,0.053733702
0,-1.465369394,-0.272500885,0.4868411
0,-0.929262531,-1.539162552,1.027115176
0,-0.759971154,-1.004497211,0.917384012
1,1.22196027,1.716270655,-0.808106304
1,-0.749840144,-1.006988551,-2.033350161
1,0.553564807,-0.710346018,-1.822784552
1,-0.534185627,1.271035492,0.922307084
1,-0.285948985,-1.188580818,-1.529577047
1,-0.277238497,-0.813826429,-1.03448839
1,0.538084312,-0.912536694,-1.300458819
1,-1.067650008,0.015979383,-0.215698156
1,-1.346814301,-0.170814376,-1.573006003
1,-0.779673626,1.645659459,0.363597686
1,-0.618771491,-0.813247657,-1.970839857
1,-0.45968136,1.869181966,0.42519405
1,-1.508857232,-0.521706935,1.253374018
1,-0.511829649,1.549925727,1.320064523
1,-1.548104704,0.514523478,-1.085598878
1,-0.490307682,1.957197497,0.092404867
